epoch,batch0,batch1,batch2,batch3,batch4,aver
0,0.15,0.17,0.24,0.25,0.2,0.202
1,0.25,0.35,0.33,0.35,0.43636363636363634,0.34327272727272723
2,0.44,0.46,0.52,0.59,0.5818181818181818,0.5183636363636364
3,0.65,0.62,0.65,0.69,0.7818181818181819,0.6783636363636363
4,0.72,0.78,0.82,0.77,0.8181818181818182,0.7816363636363637
5,0.77,0.82,0.9,0.89,0.8545454545454545,0.8469090909090908
6,0.88,0.85,0.9,0.92,0.8181818181818182,0.8736363636363637
7,0.87,0.92,0.89,0.92,0.8727272727272727,0.8945454545454545
8,0.93,0.91,0.94,0.89,0.8909090909090909,0.9121818181818183
9,0.9,0.95,0.93,0.94,0.8909090909090909,0.9221818181818182
10,0.93,0.94,0.94,0.93,0.8727272727272727,0.9225454545454547
11,0.89,0.92,0.99,0.93,0.9090909090909091,0.9278181818181818
12,0.91,0.94,0.91,0.95,0.9454545454545454,0.9310909090909091
13,0.94,0.96,0.94,0.93,0.9272727272727272,0.9394545454545454
14,0.95,0.94,0.93,0.94,0.9090909090909091,0.9338181818181818
15,0.94,0.95,0.94,0.95,0.8727272727272727,0.9305454545454547
16,0.94,0.92,0.97,0.92,0.9272727272727272,0.9354545454545455
17,0.93,0.93,0.96,0.94,0.9090909090909091,0.9338181818181818
18,0.96,0.87,0.97,0.99,0.9272727272727272,0.9434545454545453
19,0.96,0.93,0.96,0.97,0.9454545454545454,0.9530909090909091
20,0.96,0.96,0.97,0.94,0.9454545454545454,0.9550909090909091
21,0.95,0.95,0.95,0.98,0.9636363636363636,0.9587272727272727
22,0.97,0.96,0.96,0.95,0.9454545454545454,0.957090909090909
23,0.94,0.95,0.99,0.96,0.9454545454545454,0.957090909090909
24,0.96,0.95,0.98,0.96,0.9454545454545454,0.959090909090909
25,0.95,0.96,0.98,0.96,0.9636363636363636,0.9627272727272727
26,0.97,0.94,0.96,0.98,0.9636363636363636,0.9627272727272727
27,0.92,0.97,0.97,0.99,0.9818181818181818,0.9663636363636364
28,0.96,0.97,0.96,0.98,0.9636363636363636,0.9667272727272727
29,0.96,0.97,0.96,0.97,0.9818181818181818,0.9683636363636362
30,0.98,0.96,0.95,0.97,1.0,0.9719999999999999
31,0.97,0.96,0.97,0.98,0.9636363636363636,0.9687272727272728
32,0.93,0.98,0.98,0.98,0.9818181818181818,0.9703636363636363
33,0.97,0.98,0.98,0.96,0.9636363636363636,0.9707272727272727
34,0.96,1.0,0.97,0.95,0.9818181818181818,0.9723636363636363
35,0.98,0.96,0.96,0.98,0.9818181818181818,0.9723636363636363
36,0.96,0.96,0.97,0.99,0.9818181818181818,0.9723636363636363
37,0.92,0.99,0.98,1.0,0.9636363636363636,0.9707272727272727
38,0.97,0.97,0.98,0.97,0.9636363636363636,0.9707272727272727
39,0.98,0.96,0.99,0.97,0.9454545454545454,0.969090909090909
40,0.97,0.96,0.98,0.97,0.9818181818181818,0.9723636363636363
41,0.99,0.98,0.95,0.98,0.9454545454545454,0.9690909090909091
42,0.96,1.0,0.94,0.97,1.0,0.974
43,0.98,0.96,0.95,0.98,1.0,0.9739999999999999
44,1.0,0.96,0.95,0.97,1.0,0.976
45,0.98,0.98,0.96,0.96,0.9818181818181818,0.9723636363636363
46,0.98,0.95,0.98,0.97,0.9818181818181818,0.9723636363636363
47,0.98,0.97,0.97,0.98,0.9636363636363636,0.9727272727272727
48,0.97,0.96,0.95,1.0,0.9818181818181818,0.9723636363636363
49,0.98,0.98,0.99,0.96,0.9454545454545454,0.9710909090909091
50,0.98,0.96,0.99,0.99,0.9272727272727272,0.9694545454545456
51,0.99,0.96,0.97,0.98,0.9636363636363636,0.9727272727272727
52,0.97,0.99,0.98,0.96,0.9818181818181818,0.9763636363636363
53,0.98,0.99,0.97,0.95,0.9636363636363636,0.9707272727272727
54,0.95,0.98,0.99,0.96,1.0,0.976
55,1.0,0.99,0.96,0.95,0.9636363636363636,0.9727272727272729
56,0.98,0.99,0.98,0.97,0.9272727272727272,0.9694545454545456
57,0.98,0.98,0.96,0.98,0.9636363636363636,0.9727272727272727
58,0.97,0.98,0.98,0.98,0.9454545454545454,0.9710909090909091
59,0.98,0.96,0.97,0.97,1.0,0.976
60,0.96,0.99,1.0,0.95,0.9636363636363636,0.9727272727272729
61,0.98,0.99,0.95,0.98,0.9636363636363636,0.9727272727272727
62,0.98,0.94,0.97,0.99,1.0,0.976
63,0.98,0.99,0.97,0.97,0.9636363636363636,0.9747272727272728
64,0.95,1.0,0.98,0.98,0.9636363636363636,0.9747272727272727
65,0.97,0.97,0.99,0.99,0.9636363636363636,0.9767272727272728
66,0.96,0.99,0.98,0.97,1.0,0.9799999999999999
67,0.98,0.96,0.98,0.98,1.0,0.9800000000000001
68,0.99,0.98,0.96,0.98,0.9818181818181818,0.9783636363636363
69,0.97,0.97,0.98,0.98,1.0,0.9800000000000001
70,0.97,0.98,0.98,0.97,1.0,0.9799999999999999
71,0.99,0.98,0.97,0.99,0.9454545454545454,0.975090909090909
72,1.0,0.97,0.98,0.97,0.9636363636363636,0.9767272727272728
73,0.99,0.96,0.99,0.99,0.9454545454545454,0.975090909090909
74,0.95,1.0,0.99,0.96,1.0,0.9800000000000001
75,0.98,1.0,0.96,0.99,0.9454545454545454,0.975090909090909
76,0.97,0.99,0.96,0.98,1.0,0.9800000000000001
77,0.97,0.99,0.97,0.98,0.9818181818181818,0.9783636363636363
78,0.97,0.97,0.99,0.97,1.0,0.9799999999999999
79,1.0,0.98,0.98,0.95,0.9818181818181818,0.9783636363636363
80,0.99,0.97,0.97,0.98,0.9818181818181818,0.9783636363636363
81,0.98,0.98,0.98,0.98,0.9636363636363636,0.9767272727272728
82,0.98,0.97,0.97,0.99,0.9818181818181818,0.9783636363636363
83,0.97,0.98,1.0,0.96,1.0,0.982
84,0.98,0.97,1.0,0.98,0.9636363636363636,0.9787272727272727
85,0.97,0.97,0.98,0.99,1.0,0.982
86,1.0,0.99,0.97,0.95,1.0,0.982
87,0.99,0.98,0.99,0.97,0.9636363636363636,0.9787272727272727
88,0.98,0.97,0.99,0.97,1.0,0.982
89,1.0,0.96,0.99,0.97,0.9818181818181818,0.9803636363636363
90,0.98,0.96,1.0,0.97,1.0,0.982
91,0.99,1.0,0.98,0.95,0.9818181818181818,0.9803636363636363
92,0.98,0.98,0.98,0.98,0.9818181818181818,0.9803636363636363
93,0.99,0.98,0.99,0.96,0.9818181818181818,0.9803636363636363
94,0.98,0.98,0.99,1.0,0.9272727272727272,0.9754545454545454
95,0.98,0.97,0.97,0.99,1.0,0.982
96,0.98,0.99,0.99,0.99,0.9272727272727272,0.9754545454545454
97,0.98,0.97,0.98,0.98,1.0,0.982
98,0.97,0.99,0.96,0.99,1.0,0.982
99,0.99,0.98,0.98,0.96,1.0,0.982
